ID;Label;Interval;type;Degree;Weighted Degree;Eccentricity;Closeness Centrality;Harmonic Closness Centrality;Betweeness Centrality;PageRank;Component Number;Authority;Hub;stat_inf_class;clustering;Number of triangles;Modularity Class;Eigen Centrality
benzyl alcohol;benzyl alcohol;;molecule;2;2.0;7.0;0.23919885550786837;0.2525375939849618;28.1309584088086;5.025756320095228E-4;0;2.712647E-4;6.807538E-4;39;0.0;0;1;0.0030943490117748477
benzyl benzoate;benzyl benzoate;;molecule;1;1.0;6.0;0.23267464514333427;0.2454346092503977;0.0;3.0286301659235325E-4;0;8.326865E-4;0.002089684;38;0.0;0;1;0.006516106475771792
Berbécsfő, azaz juhfej;Berbécsfő, azaz juhfej;;dish;7;7.0;6.0;0.29220552254456483;0.32390350877192964;921.7340928524782;0.0010654653946719093;0;0.009341381;0.023442823;12;0.0;0;0;0.06713533022108373
Berbécsfő-saláta, azaz juhfej-saláta;Berbécsfő-saláta, azaz juhfej-saláta;;dish;9;9.0;6.0;0.32978303747534515;0.367005582137161;1897.4681215841003;0.0012272869395166495;0;0.023705158;0.059489705;12;0.0;0;0;0.1667219660699796
birsalma;birsalma;;ingredient;19;19.0;5.0;0.3171471927162367;0.34900318979266437;7425.538372521635;0.0033137446271895303;0;0.015720453;0.006264214;5;0.0;0;1;0.05689356576089232
Birsalmából piros liktáriom;Birsalmából piros liktáriom;;dish;3;3.0;6.0;0.3061149761991944;0.3350677830940986;213.80773910867848;5.45972846905846E-4;0;0.0073593208;0.018468719;5;0.0;0;1;0.05419602115084007
birsalmalé;birsalmalé;;ingredient;1;1.0;7.0;0.23496346261944911;0.24797220323536126;0.0;3.3509912660083875E-4;0;7.6987734E-4;3.067768E-4;5;0.0;0;3;0.002552432380785693
Birsalma-lévbõl más fényes liktáriom;Birsalma-lévbõl más fényes liktáriom;;dish;3;3.0;6.0;0.26666666666666666;0.2861044657097291;133.10973826672813;5.84095182095979E-4;0;0.0016080271;0.004035448;25;0.0;0;1;0.014756156592623169
Birsalma-liktáriom, melynek a leve fényes s megaluszik;Birsalma-liktáriom, melynek a leve fényes s megaluszik;;dish;7;7.0;6.0;0.3221579961464355;0.3549043062200952;1458.1648895470664;0.0011759237844432783;0;0.01140327;0.028617285;5;0.0;0;1;0.08390534504126977
birsalmamag;birsalmamag;;ingredient;1;1.0;7.0;0.24373177842565596;0.2572339940760996;0.0;3.224217289099382E-4;0;0.0012032086;4.7944838E-4;5;0.0;0;1;0.003730700319629302
